Si. No (Col. 1),Category ,State/UT (Col. 2),Juveniles Apprehended - Boys - (Col. 3),Juveniles Apprehended - Girls - (Col. 4),Juveniles Apprehended - Total - (Col. 5),18 Years & Above - Below 30 Years - Male - (Col. 6),18 Years & Above - Below 30 Years - Female - (Col. 7),18 Years & Above - Below 30 Years - Total - (Col. 8),30 Years & above - Below 45 Years - Male - (Col. 9),30 Years & above - Below 45 Years - Female - (Col. 10),30 Years & above - Below 45 Years - Total - (Col. 11),45 Years & above - Below 60 Years - Male - (Col. 12),45 Years & above - Below 60 Years - Female - (Col. 13),45 Years & above - Below 60 Years - Total - (Col. 14),60 Years & Above - Male - (Col. 15),60 Years & Above - Female - (Col. 16),60 Years & Above - Total - (Col. 17),Total - Male - (Col. 18),Total - Female - (Col. 19),Total - Total Persons Arrested by age and Sex - (Col. 20)
1,State,Andhra Pradesh,75,0,75,12446,153,12599,17542,367,17909,7957,166,8123,1049,14,1063,39069,700,39769
2,State,Arunachal Pradesh,0,0,0,196,5,201,130,1,131,15,1,16,0,0,0,341,7,348
3,State,Assam,76,0,76,5449,50,5499,4778,64,4842,2052,4,2056,9,0,9,12364,118,12482
4,State,Bihar,153,0,153,28277,1227,29504,21170,1127,22297,8594,483,9077,191,0,191,58385,2837,61222
5,State,Chhattisgarh,166,1,167,24200,155,24355,17853,345,18198,7247,94,7341,478,4,482,49944,599,50543
6,State,Goa,0,0,0,382,10,392,487,4,491,245,3,248,39,2,41,1153,19,1172
7,State,Gujarat,266,0,266,122778,17040,139818,132923,32075,164998,56275,18818,75093,3216,1469,4685,315458,69402,384860
8,State,Haryana,181,0,181,16816,240,17056,12474,265,12739,3527,83,3610,241,14,255,33239,602,33841
9,State,Himachal Pradesh,26,0,26,2294,132,2426,2571,180,2751,883,99,982,94,22,116,5868,433,6301
10,State,Jharkhand,2,0,2,5029,164,5193,5720,239,5959,1366,89,1455,22,0,22,12139,492,12631
11,State,Karnataka,72,0,72,27382,401,27783,33961,1037,34998,12217,567,12784,1434,77,1511,75066,2082,77148
12,State,Kerala,70,0,70,132616,631,133247,115885,610,116495,56109,283,56392,9099,34,9133,313779,1558,315337
13,State,Madhya Pradesh,608,1,609,68705,1592,70297,58300,2957,61257,17077,820,17897,1922,67,1989,146612,5437,152049
14,State,Maharashtra,378,7,385,42149,1313,43462,42756,2657,45413,16903,1261,18164,1177,173,1350,103363,5411,108774
15,State,Manipur,11,0,11,349,30,379,321,45,366,34,18,52,1,2,3,716,95,811
16,State,Meghalaya,43,0,43,422,9,431,276,11,287,68,0,68,6,0,6,815,20,835
17,State,Mizoram,10,0,10,238,20,258,234,44,278,71,13,84,6,2,8,559,79,638
18,State,Nagaland,0,0,0,269,6,275,358,17,375,58,8,66,4,2,6,689,33,722
19,State,Odisha,26,0,26,9738,208,9946,4070,171,4241,1023,47,1070,25,0,25,14882,426,15308
20,State,Punjab,57,0,57,14200,749,14949,17694,1314,19008,9254,443,9697,194,9,203,41399,2515,43914
21,State,Rajasthan,110,0,110,33048,343,33391,32069,328,32397,11788,93,11881,836,1,837,77851,765,78616
22,State,Sikkim,6,0,6,95,2,97,79,3,82,27,0,27,4,0,4,211,5,216
23,State,Tamil Nadu,533,1,534,152636,4875,157511,229366,10454,239820,115102,8536,123638,11876,1232,13108,509513,25098,534611
24,State,Telangana,75,0,75,5028,152,5180,5888,162,6050,1607,36,1643,33,1,34,12631,351,12982
25,State,Tripura,10,0,10,589,15,604,287,18,305,110,4,114,2,2,4,998,39,1037
26,State,Uttar Pradesh,343,14,357,185630,1210,186840,111560,1292,112852,29107,459,29566,676,8,684,327316,2983,330299
27,State,Uttarakhand,21,0,21,16567,1565,18132,19052,1328,20380,2684,35,2719,25,0,25,38349,2928,41277
28,State,West Bengal,158,0,158,14971,252,15223,16009,421,16430,5241,137,5378,279,13,292,36658,823,37481
Total State(s),Total State(s),Total State(s),3476,24,3500,922499,32549,955048,903813,57536,961349,366641,32600,399241,32938,3148,36086,2229367,125857,2355224
29,Union Territories,A & N Islands,13,0,13,515,10,525,1075,43,1118,634,52,686,152,15,167,2389,120,2509
30,Union Territories,Chandigarh,1,0,1,223,4,227,392,17,409,194,6,200,33,0,33,843,27,870
31,Union Territories,D & N Haveli and Daman & Diu,5,0,5,97,2,99,63,2,65,24,1,25,9,1,10,198,6,204
32,Union Territories,Delhi,174,0,174,11120,309,11429,9104,466,9570,2915,148,3063,316,18,334,23629,941,24570
33,Union Territories,Jammu & Kashmir,23,1,24,1689,7,1696,1787,21,1808,815,5,820,8,1,9,4322,35,4357
34,Union Territories,Ladakh,0,0,0,1,1,2,5,2,7,4,1,5,0,0,0,10,4,14
35,Union Territories,Lakshadweep,1,0,1,26,1,27,67,4,71,15,1,16,1,0,1,110,6,116
36,Union Territories,Puducherry,16,0,16,188,16,204,479,3,482,1194,2,1196,0,0,0,1877,21,1898
Total UT(s),Total UT(s),Total UT(s),233,1,234,13859,350,14209,12972,558,13530,5795,216,6011,519,35,554,33378,1160,34538
Total All India,Total All India,Total All India,3709,25,3734,936358,32899,969257,916785,58094,974879,372436,32816,405252,33457,3183,36640,2262745,127017,2389762
